Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
H2,~,3.2mm Hole Oblong,250.0,-56.0,0.0,top
H3,~,3.2mm Hole Oblong,50.0,-137.0,0.0,top
H4,~,3.2mm Hole Oblong,250.0,-137.0,0.0,top
HS1,Heatsink,ATS-CPX045045010-197-C1-R0,213.0,-129.0,0.0,top
HS2,Heatsink,ASS_0871_HS,150.0,-95.5,0.0,top
HS5,Heatsink,ASS_0871_HS,126.0,-70.0,-90.0,top
J1,12-20V,BarrelJack_CLIFF_FC681465S_SMT_Horizontal,175.0,-55.9,-90.0,top
J2,Digital,FCR684205R,61.5,-55.85,0.0,top
J3,AUX1,RCJ-2223,107.0,-53.3915,0.0,top
J4,AUX2,RCJ-2223,82.0,-53.3915,0.0,top
J5,CHANNEL A,"PhoenixContact_MSTBVA_2,5_2-G_1x02_P5.00mm_Vertical",197.0,-75.2775,0.0,top
J6,CHANNEL B,"PhoenixContact_MSTBVA_2,5_2-G_1x02_P5.00mm_Vertical",229.0,-75.2775,0.0,top
J7,Frontpanel,PCB-C-20-T-SMT,91.0,-151.0,0.0,top
J8,ICSP,IDC-Header_2x03_P2.54mm_Vertical,53.975,-122.0,180.0,top
J9,Serial Debug,PinHeader_1x03_P2.54mm_Vertical,53.475,-111.0,-90.0,top
L1,10µH,L_12x12mm_H4.5mm,188.0,-99.0,90.0,top
L2,10µH,L_12x12mm_H4.5mm,202.5,-99.0,90.0,top
L3,10µH,L_12x12mm_H4.5mm,223.5,-99.0,90.0,top
L4,10µH,L_12x12mm_H4.5mm,238.0,-99.0,90.0,top
L5,68µH,L_12x12mm_H4.5mm,150.05,-82.0,0.0,top
L6,10µH,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,86.425,-96.2,180.0,top
L7,10µH,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,103.7,-112.5,-90.0,top
L8,10µH,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,111.7,-122.8,90.0,top
L9,10µH,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,57.1375,-105.5,0.0,top
L10,10µH,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,106.0,-69.0,-90.0,top
L11,10µH,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,108.0,-69.0,90.0,top
L12,10µH,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,126.5,-146.0,90.0,top
L13,10µH,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,132.0,-135.975,90.0,top
L14,10µH,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,145.5,-147.0,180.0,top
L15,10µH,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,146.0,-134.0,180.0,top
L16,10µH,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,89.0,-130.0,135.0,top
L17,10µH,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,202.5,-137.0,180.0,bottom
L18,10µH,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,87.0,-134.0,-45.0,top
L19,10µH,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,224.0,-139.0,0.0,bottom
L20,10µH,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,83.0,-69.0,90.0,top
L21,10µH,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,81.0,-69.0,-90.0,top
